state,Lat,Long
Alabama,32.3182,-86.9023
"Alameda County, CA",37.6017,-121.7195
Alaska,61.3707,-152.4044
Arizona,33.7298,-111.4312
Arkansas,34.9697,-92.3731
"Bennington County, VT",43.0279,-73.135
"Bergen County, NJ",40.9263,-74.077
"Berkshire County, MA",42.3118,-73.1822
"Broward County, FL",26.1901,-80.3659
California,36.1162,-119.6816
"Carver County, MN",44.8254,-93.7842
"Charleston County, SC",32.7957,-79.7848
"Charlotte County, FL",26.8946,-81.9098
"Chatham County, NC",35.7211,-79.1781
"Cherokee County, GA",34.2515,-84.4803
"Clark County, NV",36.0796,-115.094
"Clark County, WA",45.7466,-122.5194
"Cobb County, GA",33.8999,-84.5641
"Collin County, TX",33.1795,-96.493
Colorado,39.0598,-105.3111
Connecticut,41.5978,-72.7554
"Contra Costa County, CA",37.8534,-121.9018
"Cook County, IL",41.7377,-87.6976
"Davidson County, TN",36.1343,-86.822
"Davis County, UT",40.9629,-112.0953
Delaware,39.3185,-75.5071
"Delaware County, PA",39.9078,-75.3879
"Denver County, CO",39.7392,-104.9903
Diamond Princess,35.4437,139.638
District of Columbia,38.8974,-77.0268
"Douglas County, CO",39.2587,-104.9389
"Douglas County, NE",41.3148,-96.1951
"Douglas County, OR",43.1261,-123.2492
"El Paso County, CO",38.9108,-104.4723
"Fairfax County, VA",38.9085,-77.2405
"Fayette County, KY",38.0606,-84.4803
Florida,27.7663,-81.6868
"Fort Bend County, TX",29.5693,-95.8143
"Fresno County, CA",36.9859,-119.2321
"Fulton County, GA",33.8034,-84.3963
Georgia,33.0406,-83.6431
"Grafton County, NH",43.9088,-71.826
Grand Princess,37.6489,-122.6655
"Grant County, WA",47.1981,-119.3732
Guam,13.4443,144.7937
"Harford County, MD",39.5839,-76.3637
"Harris County, TX",29.7752,-95.3103
"Harrison County, KY",38.4333,-84.3542
Hawaii,21.0943,-157.4983
"Hendricks County, IN",39.8065,-86.5401
"Hillsborough, FL",27.9904,-82.3018
"Honolulu County, HI",21.307,-157.8584
"Hudson County, NJ",40.7453,-74.0535
"Humboldt County, CA",40.745,-123.8695
Idaho,44.2405,-114.4788
Illinois,40.3495,-88.9861
Indiana,39.8494,-86.2583
Iowa,42.0115,-93.2105
"Jackson County, OR ",42.3345,-122.7647
"Jefferson County, KY",38.1938,-85.6435
"Jefferson County, WA",47.7425,-123.304
"Jefferson Parish, LA",29.6499,-90.1121
"Johnson County, IA",41.6699,-91.5984
"Johnson County, KS",38.8454,-94.8521
Kansas,38.5266,-96.7265
Kentucky,37.6681,-84.6701
"Kershaw County, SC",34.3672,-80.5883
"King County, WA",47.6062,-122.3321
"Kittitas County, WA",47.175,-120.9319
"Klamath County, OR",42.6953,-121.6142
