date,state,condition,cases
3/10/20,Washington,confirmed,267
3/11/20,Washington,confirmed,366
3/12/20,Washington,confirmed,442
3/13/20,Washington,confirmed,568
3/14/20,Washington,confirmed,572
3/15/20,Washington,confirmed,643
3/16/20,Washington,confirmed,904
3/17/20,Washington,confirmed,1076
3/18/20,Washington,confirmed,1014
3/19/20,Washington,confirmed,1376
3/20/20,Washington,confirmed,1524
3/21/20,Washington,confirmed,1793
3/22/20,Washington,confirmed,1996
3/10/20,New York,confirmed,173
3/11/20,New York,confirmed,220
3/12/20,New York,confirmed,328
3/13/20,New York,confirmed,421
3/14/20,New York,confirmed,525
3/15/20,New York,confirmed,732
3/16/20,New York,confirmed,967
3/17/20,New York,confirmed,1706
3/18/20,New York,confirmed,2495
3/19/20,New York,confirmed,5365
3/20/20,New York,confirmed,8310
3/21/20,New York,confirmed,11710
3/22/20,New York,confirmed,15793
3/10/20,California,confirmed,144
3/11/20,California,confirmed,177
3/12/20,California,confirmed,221
3/13/20,California,confirmed,282
3/14/20,California,confirmed,340
3/15/20,California,confirmed,426
3/16/20,California,confirmed,557
3/17/20,California,confirmed,698
3/18/20,California,confirmed,751
3/19/20,California,confirmed,952
3/20/20,California,confirmed,1177
3/21/20,California,confirmed,1364
3/22/20,California,confirmed,1642
3/10/20,Massachusetts,confirmed,92
3/11/20,Massachusetts,confirmed,95
3/12/20,Massachusetts,confirmed,108
3/13/20,Massachusetts,confirmed,123
3/14/20,Massachusetts,confirmed,138
3/15/20,Massachusetts,confirmed,164
3/16/20,Massachusetts,confirmed,197
3/17/20,Massachusetts,confirmed,218
3/18/20,Massachusetts,confirmed,218
3/19/20,Massachusetts,confirmed,328
3/20/20,Massachusetts,confirmed,413
3/21/20,Massachusetts,confirmed,525
3/22/20,Massachusetts,confirmed,646
2/24/20,Diamond Princess,confirmed,36
2/25/20,Diamond Princess,confirmed,36
2/26/20,Diamond Princess,confirmed,42
2/27/20,Diamond Princess,confirmed,42
2/28/20,Diamond Princess,confirmed,44
2/29/20,Diamond Princess,confirmed,44
3/1/20,Diamond Princess,confirmed,44
3/2/20,Diamond Princess,confirmed,45
3/3/20,Diamond Princess,confirmed,45
3/4/20,Diamond Princess,confirmed,45
3/5/20,Diamond Princess,confirmed,45
3/6/20,Diamond Princess,confirmed,45
3/7/20,Diamond Princess,confirmed,45
3/8/20,Diamond Princess,confirmed,45
3/9/20,Diamond Princess,confirmed,45
3/10/20,Diamond Princess,confirmed,46
