date,state,condition,cases
2020-03-10,Washington,confirmed,267
2020-03-11,Washington,confirmed,366
2020-03-12,Washington,confirmed,442
2020-03-13,Washington,confirmed,568
2020-03-14,Washington,confirmed,572
2020-03-15,Washington,confirmed,643
2020-03-16,Washington,confirmed,904
2020-03-17,Washington,confirmed,1076
2020-03-18,Washington,confirmed,1014
2020-03-19,Washington,confirmed,1376
2020-03-20,Washington,confirmed,1524
2020-03-21,Washington,confirmed,1793
2020-03-22,Washington,confirmed,1996
2020-03-10,New York,confirmed,173
2020-03-11,New York,confirmed,220
2020-03-12,New York,confirmed,328
2020-03-13,New York,confirmed,421
2020-03-14,New York,confirmed,525
2020-03-15,New York,confirmed,732
2020-03-16,New York,confirmed,967
2020-03-17,New York,confirmed,1706
2020-03-18,New York,confirmed,2495
2020-03-19,New York,confirmed,5365
2020-03-20,New York,confirmed,8310
2020-03-21,New York,confirmed,11710
2020-03-22,New York,confirmed,15793
2020-03-10,California,confirmed,144
2020-03-11,California,confirmed,177
2020-03-12,California,confirmed,221
2020-03-13,California,confirmed,282
2020-03-14,California,confirmed,340
2020-03-15,California,confirmed,426
2020-03-16,California,confirmed,557
2020-03-17,California,confirmed,698
2020-03-18,California,confirmed,751
2020-03-19,California,confirmed,952
2020-03-20,California,confirmed,1177
2020-03-21,California,confirmed,1364
2020-03-22,California,confirmed,1642
2020-03-10,Massachusetts,confirmed,92
2020-03-11,Massachusetts,confirmed,95
2020-03-12,Massachusetts,confirmed,108
2020-03-13,Massachusetts,confirmed,123
2020-03-14,Massachusetts,confirmed,138
2020-03-15,Massachusetts,confirmed,164
2020-03-16,Massachusetts,confirmed,197
2020-03-17,Massachusetts,confirmed,218
2020-03-18,Massachusetts,confirmed,218
2020-03-19,Massachusetts,confirmed,328
2020-03-20,Massachusetts,confirmed,413
2020-03-21,Massachusetts,confirmed,525
2020-03-22,Massachusetts,confirmed,646
2020-02-24,Diamond Princess,confirmed,36
2020-02-25,Diamond Princess,confirmed,36
2020-02-26,Diamond Princess,confirmed,42
2020-02-27,Diamond Princess,confirmed,42
2020-02-28,Diamond Princess,confirmed,44
2020-02-29,Diamond Princess,confirmed,44
2020-03-01,Diamond Princess,confirmed,44
2020-03-02,Diamond Princess,confirmed,45
2020-03-03,Diamond Princess,confirmed,45
2020-03-04,Diamond Princess,confirmed,45
2020-03-05,Diamond Princess,confirmed,45
2020-03-06,Diamond Princess,confirmed,45
2020-03-07,Diamond Princess,confirmed,45
2020-03-08,Diamond Princess,confirmed,45
2020-03-09,Diamond Princess,confirmed,45
2020-03-10,Diamond Princess,confirmed,46
2020-03-11,Diamond Princess,confirmed,46
2020-03-12,Diamond Princess,confirmed,46
2020-03-13,Diamond Princess,confirmed,46
2020-03-14,Diamond Princess,confirmed,46
2020-03-15,Diamond Princess,confirmed,46
2020-03-16,Diamond Princess,confirmed,47
2020-03-17,Diamond Princess,confirmed,47
2020-03-18,Diamond Princess,confirmed,47
2020-03-19,Diamond Princess,confirmed,47
2020-03-20,Diamond Princess,confirmed,49
2020-03-21,Diamond Princess,confirmed,49
2020-03-22,Diamond Princess,confirmed,49
2020-03-07,Grand Princess,confirmed,21
2020-03-08,Grand Princess,confirmed,21
2020-03-09,Grand Princess,confirmed,21
2020-03-10,Grand Princess,confirmed,21
2020-03-11,Grand Princess,confirmed,21
2020-03-12,Grand Princess,confirmed,21
2020-03-13,Grand Princess,confirmed,21
2020-03-14,Grand Princess,confirmed,21
2020-03-15,Grand Princess,confirmed,21
2020-03-16,Grand Princess,confirmed,20
2020-03-17,Grand Princess,confirmed,21
2020-03-18,Grand Princess,confirmed,21
2020-03-19,Grand Princess,confirmed,22
2020-03-20,Grand Princess,confirmed,23
2020-03-21,Grand Princess,confirmed,23
2020-03-22,Grand Princess,confirmed,30
2020-03-10,Georgia,confirmed,17
2020-03-11,Georgia,confirmed,23
2020-03-12,Georgia,confirmed,31
2020-03-13,Georgia,confirmed,42
2020-03-14,Georgia,confirmed,66
2020-03-15,Georgia,confirmed,99
2020-03-16,Georgia,confirmed,121
2020-03-17,Georgia,confirmed,146
2020-03-18,Georgia,confirmed,199
2020-03-19,Georgia,confirmed,287
2020-03-20,Georgia,confirmed,420
2020-03-21,Georgia,confirmed,507
2020-03-22,Georgia,confirmed,600
2020-03-10,Colorado,confirmed,15
2020-03-11,Colorado,confirmed,34
2020-03-12,Colorado,confirmed,45
2020-03-13,Colorado,confirmed,49
2020-03-14,Colorado,confirmed,101
2020-03-15,Colorado,confirmed,131
2020-03-16,Colorado,confirmed,160
2020-03-17,Colorado,confirmed,160
2020-03-18,Colorado,confirmed,184
2020-03-19,Colorado,confirmed,277
2020-03-20,Colorado,confirmed,363
2020-03-21,Colorado,confirmed,390
2020-03-22,Colorado,confirmed,476
2020-03-10,Florida,confirmed,15
2020-03-11,Florida,confirmed,28
2020-03-12,Florida,confirmed,35
2020-03-13,Florida,confirmed,50
2020-03-14,Florida,confirmed,76
2020-03-15,Florida,confirmed,115
2020-03-16,Florida,confirmed,155
2020-03-17,Florida,confirmed,216
2020-03-18,Florida,confirmed,314
2020-03-19,Florida,confirmed,417
2020-03-20,Florida,confirmed,563
2020-03-21,Florida,confirmed,659
2020-03-22,Florida,confirmed,830
2020-03-10,New Jersey,confirmed,15
2020-03-11,New Jersey,confirmed,23
2020-03-12,New Jersey,confirmed,29
2020-03-13,New Jersey,confirmed,29
2020-03-14,New Jersey,confirmed,69
2020-03-15,New Jersey,confirmed,98
2020-03-16,New Jersey,confirmed,178
2020-03-17,New Jersey,confirmed,267
2020-03-18,New Jersey,confirmed,267
2020-03-19,New Jersey,confirmed,742
2020-03-20,New Jersey,confirmed,890
2020-03-21,New Jersey,confirmed,1327
2020-03-22,New Jersey,confirmed,1914
2020-03-10,Oregon,confirmed,15
2020-03-11,Oregon,confirmed,19
2020-03-12,Oregon,confirmed,24
2020-03-13,Oregon,confirmed,30
2020-03-14,Oregon,confirmed,32
2020-03-15,Oregon,confirmed,36
2020-03-16,Oregon,confirmed,39
2020-03-17,Oregon,confirmed,66
2020-03-18,Oregon,confirmed,68
2020-03-19,Oregon,confirmed,88
2020-03-20,Oregon,confirmed,114
2020-03-21,Oregon,confirmed,114
2020-03-22,Oregon,confirmed,161
2020-03-10,Texas,confirmed,13
2020-03-11,Texas,confirmed,21
2020-03-12,Texas,confirmed,27
2020-03-13,Texas,confirmed,43
2020-03-14,Texas,confirmed,57
2020-03-15,Texas,confirmed,72
2020-03-16,Texas,confirmed,85
2020-03-17,Texas,confirmed,110
2020-03-18,Texas,confirmed,173
2020-03-19,Texas,confirmed,260
2020-03-20,Texas,confirmed,394
2020-03-21,Texas,confirmed,581
2020-03-22,Texas,confirmed,627
2020-03-10,Illinois,confirmed,12
2020-03-11,Illinois,confirmed,25
2020-03-12,Illinois,confirmed,32
2020-03-13,Illinois,confirmed,46
2020-03-14,Illinois,confirmed,64
2020-03-15,Illinois,confirmed,93
2020-03-16,Illinois,confirmed,105
2020-03-17,Illinois,confirmed,161
2020-03-18,Illinois,confirmed,162
2020-03-19,Illinois,confirmed,422
2020-03-20,Illinois,confirmed,585
2020-03-21,Illinois,confirmed,753
2020-03-22,Illinois,confirmed,1049
2020-03-10,Pennsylvania,confirmed,12
2020-03-11,Pennsylvania,confirmed,16
2020-03-12,Pennsylvania,confirmed,22
2020-03-13,Pennsylvania,confirmed,41
2020-03-14,Pennsylvania,confirmed,47
2020-03-15,Pennsylvania,confirmed,66
2020-03-16,Pennsylvania,confirmed,77
2020-03-17,Pennsylvania,confirmed,112
2020-03-18,Pennsylvania,confirmed,152
2020-03-19,Pennsylvania,confirmed,206
2020-03-20,Pennsylvania,confirmed,303
2020-03-21,Pennsylvania,confirmed,396
2020-03-22,Pennsylvania,confirmed,509
2020-03-10,Iowa,confirmed,8
2020-03-11,Iowa,confirmed,13
2020-03-12,Iowa,confirmed,16
2020-03-13,Iowa,confirmed,17
2020-03-14,Iowa,confirmed,17
2020-03-15,Iowa,confirmed,18
2020-03-16,Iowa,confirmed,23
2020-03-17,Iowa,confirmed,23
2020-03-18,Iowa,confirmed,29
2020-03-19,Iowa,confirmed,44
2020-03-20,Iowa,confirmed,45
2020-03-21,Iowa,confirmed,68
2020-03-22,Iowa,confirmed,90
2020-03-10,Maryland,confirmed,8
2020-03-11,Maryland,confirmed,9
2020-03-12,Maryland,confirmed,12
2020-03-13,Maryland,confirmed,18
2020-03-14,Maryland,confirmed,26
2020-03-15,Maryland,confirmed,32
2020-03-16,Maryland,confirmed,41
2020-03-17,Maryland,confirmed,60
2020-03-18,Maryland,confirmed,85
2020-03-19,Maryland,confirmed,107
2020-03-20,Maryland,confirmed,149
2020-03-21,Maryland,confirmed,193
2020-03-22,Maryland,confirmed,244
2020-03-10,North Carolina,confirmed,7
2020-03-11,North Carolina,confirmed,7
2020-03-12,North Carolina,confirmed,15
2020-03-13,North Carolina,confirmed,17
2020-03-14,North Carolina,confirmed,24
2020-03-15,North Carolina,confirmed,33
2020-03-16,North Carolina,confirmed,38
2020-03-17,North Carolina,confirmed,64
2020-03-18,North Carolina,confirmed,70
2020-03-19,North Carolina,confirmed,123
2020-03-20,North Carolina,confirmed,172
2020-03-21,North Carolina,confirmed,253
2020-03-22,North Carolina,confirmed,302
2020-03-10,South Carolina,confirmed,7
2020-03-11,South Carolina,confirmed,10
2020-03-12,South Carolina,confirmed,12
2020-03-13,South Carolina,confirmed,13
2020-03-14,South Carolina,confirmed,19
2020-03-15,South Carolina,confirmed,28
2020-03-16,South Carolina,confirmed,33
2020-03-17,South Carolina,confirmed,47
2020-03-18,South Carolina,confirmed,47
2020-03-19,South Carolina,confirmed,81
2020-03-20,South Carolina,confirmed,126
2020-03-21,South Carolina,confirmed,171
2020-03-22,South Carolina,confirmed,196
2020-03-10,Tennessee,confirmed,7
2020-03-11,Tennessee,confirmed,9
2020-03-12,Tennessee,confirmed,18
2020-03-13,Tennessee,confirmed,26
2020-03-14,Tennessee,confirmed,32
2020-03-15,Tennessee,confirmed,39
2020-03-16,Tennessee,confirmed,52
2020-03-17,Tennessee,confirmed,74
2020-03-18,Tennessee,confirmed,79
2020-03-19,Tennessee,confirmed,154
2020-03-20,Tennessee,confirmed,233
2020-03-21,Tennessee,confirmed,371
2020-03-22,Tennessee,confirmed,505
2020-03-10,Virginia,confirmed,7
2020-03-11,Virginia,confirmed,9
2020-03-12,Virginia,confirmed,17
2020-03-13,Virginia,confirmed,30
2020-03-14,Virginia,confirmed,41
2020-03-15,Virginia,confirmed,45
2020-03-16,Virginia,confirmed,49
2020-03-17,Virginia,confirmed,67
2020-03-18,Virginia,confirmed,77
2020-03-19,Virginia,confirmed,99
2020-03-20,Virginia,confirmed,122
2020-03-21,Virginia,confirmed,156
2020-03-22,Virginia,confirmed,221
2020-03-10,Arizona,confirmed,6
2020-03-11,Arizona,confirmed,9
2020-03-12,Arizona,confirmed,9
2020-03-13,Arizona,confirmed,9
2020-03-14,Arizona,confirmed,12
2020-03-15,Arizona,confirmed,13
2020-03-16,Arizona,confirmed,18
2020-03-17,Arizona,confirmed,20
2020-03-18,Arizona,confirmed,27
2020-03-19,Arizona,confirmed,45
